order_no,bot_name,username,telegram_id,item_count,amount,status,created_at
ORD2026011000000001,主站 Bot,user_100000,100000000,1,5.0,completed,2026-01-10 00:00:00
ORD2026011100000002,主站 Bot,user_100001,100000001,2,5.37,pending,2026-01-11 01:07:11
ORD2026011200000003,主站 Bot,user_100002,100000002,3,5.74,refunded,2026-01-12 02:14:22
ORD2026011300000004,主站 Bot,user_100003,100000003,4,6.11,cancelled,2026-01-13 03:21:33
ORD2026011400000005,主站 Bot,user_100004,100000004,5,6.48,completed,2026-01-14 04:28:44
ORD2026011500000006,主站 Bot,user_100005,100000005,6,6.85,pending,2026-01-15 05:35:55
ORD2026011600000007,主站 Bot,user_100006,100000006,7,7.22,refunded,2026-01-16 06:42:06
ORD2026011700000008,主站 Bot,user_100007,100000007,8,7.59,cancelled,2026-01-17 07:49:17
ORD2026011800000009,主站 Bot,user_100008,100000008,1,7.96,completed,2026-01-18 08:56:28
ORD2026011900000010,主站 Bot,user_100009,100000009,2,8.33,pending,2026-01-19 09:03:39
ORD2026012000000011,主站 Bot,user_100010,100000010,3,8.7,refunded,2026-01-20 10:10:50
ORD2026012100000012,主站 Bot,user_100011,100000011,4,9.07,cancelled,2026-01-21 11:17:01
ORD2026012200000013,主站 Bot,user_100012,100000012,5,9.44,completed,2026-01-22 12:24:12
ORD2026012300000014,主站 Bot,user_100013,100000013,6,9.81,pending,2026-01-23 13:31:23
ORD2026012400000015,主站 Bot,user_100014,100000014,7,10.18,refunded,2026-01-24 14:38:34
ORD2026012500000016,主站 Bot,user_100015,100000015,8,10.55,cancelled,2026-01-25 15:45:45
ORD2026012600000017,主站 Bot,user_100016,100000016,1,10.92,completed,2026-01-26 16:52:56
ORD2026012700000018,主站 Bot,user_100017,100000017,2,11.29,pending,2026-01-27 17:59:07
ORD2026012800000019,主站 Bot,user_100018,100000018,3,11.66,refunded,2026-01-28 18:06:18
ORD2026012900000020,主站 Bot,user_100019,100000019,4,12.03,cancelled,2026-01-29 19:13:29
ORD2026013000000021,主站 Bot,user_100020,100000020,5,12.4,completed,2026-01-30 20:20:40
ORD2026013100000022,主站 Bot,user_100021,100000021,6,12.77,pending,2026-01-31 21:27:51
ORD2026020100000023,主站 Bot,user_100022,100000022,7,13.14,refunded,2026-02-01 22:34:02
ORD2026020200000024,主站 Bot,user_100023,100000023,8,13.51,cancelled,2026-02-02 23:41:13
ORD2026020300000025,主站 Bot,user_100024,100000024,1,13.88,completed,2026-02-03 00:48:24
ORD2026020400000026,主站 Bot,user_100025,100000025,2,14.25,pending,2026-02-04 01:55:35
ORD2026020500000027,主站 Bot,user_100026,100000026,3,14.62,refunded,2026-02-05 02:02:46
ORD2026020600000028,主站 Bot,user_100027,100000027,4,14.99,cancelled,2026-02-06 03:09:57
ORD2026020700000029,主站 Bot,user_100028,100000028,5,15.36,completed,2026-02-07 04:16:08
ORD2026020800000030,主站 Bot,user_100029,100000029,6,15.73,pending,2026-02-08 05:23:19
ORD2026020900000031,主站 Bot,user_100030,100000030,7,16.1,refunded,2026-02-09 06:30:30
ORD2026011000000032,主站 Bot,user_100031,100000031,8,16.47,cancelled,2026-01-10 07:37:41
ORD2026011100000033,主站 Bot,user_100032,100000032,1,16.84,completed,2026-01-11 08:44:52
ORD2026011200000034,主站 Bot,user_100033,100000033,2,17.21,pending,2026-01-12 09:51:03
ORD2026011300000035,主站 Bot,user_100034,100000034,3,17.58,refunded,2026-01-13 10:58:14
ORD2026011400000036,主站 Bot,user_100035,100000035,4,17.95,cancelled,2026-01-14 11:05:25
ORD2026011500000037,主站 Bot,user_100036,100000036,5,18.32,completed,2026-01-15 12:12:36
ORD2026011600000038,主站 Bot,user_100037,100000037,6,18.69,pending,2026-01-16 13:19:47
ORD2026011700000039,主站 Bot,user_100038,100000038,7,19.06,refunded,2026-01-17 14:26:58
ORD2026011800000040,主站 Bot,user_100039,100000039,8,19.43,cancelled,2026-01-18 15:33:09
ORD2026011900000041,主站 Bot,user_100040,100000040,1,19.8,completed,2026-01-19 16:40:20
ORD2026012000000042,主站 Bot,user_100041,100000041,2,20.17,pending,2026-01-20 17:47:31
ORD2026012100000043,主站 Bot,user_100042,100000042,3,20.54,refunded,2026-01-21 18:54:42
ORD2026012200000044,主站 Bot,user_100043,100000043,4,20.91,cancelled,2026-01-22 19:01:53
ORD2026012300000045,主站 Bot,user_100044,100000044,5,21.28,completed,2026-01-23 20:08:04
ORD2026012400000046,主站 Bot,user_100045,100000045,6,21.65,pending,2026-01-24 21:15:15
ORD2026012500000047,主站 Bot,user_100046,100000046,7,22.02,refunded,2026-01-25 22:22:26
ORD2026012600000048,主站 Bot,user_100047,100000047,8,22.39,cancelled,2026-01-26 23:29:37
ORD2026012700000049,主站 Bot,user_100048,100000048,1,22.76,completed,2026-01-27 00:36:48
ORD2026012800000050,主站 Bot,user_100049,100000049,2,23.13,pending,2026-01-28 01:43:59
ORD2026012900000051,主站 Bot,user_100050,100000050,3,23.5,refunded,2026-01-29 02:50:10
ORD2026013000000052,主站 Bot,user_100051,100000051,4,23.87,cancelled,2026-01-30 03:57:21
ORD2026013100000053,主站 Bot,user_100052,100000052,5,24.24,completed,2026-01-31 04:04:32
ORD2026020100000054,主站 Bot,user_100053,100000053,6,24.61,pending,2026-02-01 05:11:43
ORD2026020200000055,主站 Bot,user_100054,100000054,7,24.98,refunded,2026-02-02 06:18:54
ORD2026020300000056,主站 Bot,user_100055,100000055,8,25.35,cancelled,2026-02-03 07:25:05
ORD2026020400000057,主站 Bot,user_100056,100000056,1,25.72,completed,2026-02-04 08:32:16
ORD2026020500000058,主站 Bot,user_100057,100000057,2,26.09,pending,2026-02-05 09:39:27
ORD2026020600000059,主站 Bot,user_100058,100000058,3,26.46,refunded,2026-02-06 10:46:38
ORD2026020700000060,主站 Bot,user_100059,100000059,4,26.83,cancelled,2026-02-07 11:53:49
ORD2026020800000061,主站 Bot,user_100060,100000060,5,27.2,completed,2026-02-08 12:00:00
ORD2026020900000062,主站 Bot,user_100061,100000061,6,27.57,pending,2026-02-09 13:07:11
ORD2026011000000063,主站 Bot,user_100062,100000062,7,27.94,refunded,2026-01-10 14:14:22
ORD2026011100000064,主站 Bot,user_100063,100000063,8,28.31,cancelled,2026-01-11 15:21:33
ORD2026011200000065,主站 Bot,user_100064,100000064,1,28.68,completed,2026-01-12 16:28:44
ORD2026011300000066,主站 Bot,user_100065,100000065,2,29.05,pending,2026-01-13 17:35:55
ORD2026011400000067,主站 Bot,user_100066,100000066,3,29.42,refunded,2026-01-14 18:42:06
ORD2026011500000068,主站 Bot,user_100067,100000067,4,29.79,cancelled,2026-01-15 19:49:17
ORD2026011600000069,主站 Bot,user_100068,100000068,5,30.16,completed,2026-01-16 20:56:28
ORD2026011700000070,主站 Bot,user_100069,100000069,6,30.53,pending,2026-01-17 21:03:39
ORD2026011800000071,主站 Bot,user_100070,100000070,7,30.9,refunded,2026-01-18 22:10:50
ORD2026011900000072,主站 Bot,user_100071,100000071,8,31.27,cancelled,2026-01-19 23:17:01
ORD2026012000000073,主站 Bot,user_100072,100000072,1,31.64,completed,2026-01-20 00:24:12
ORD2026012100000074,主站 Bot,user_100073,100000073,2,32.01,pending,2026-01-21 01:31:23
ORD2026012200000075,主站 Bot,user_100074,100000074,3,32.38,refunded,2026-01-22 02:38:34
ORD2026012300000076,主站 Bot,user_100075,100000075,4,32.75,cancelled,2026-01-23 03:45:45
ORD2026012400000077,主站 Bot,user_100076,100000076,5,33.12,completed,2026-01-24 04:52:56
ORD2026012500000078,主站 Bot,user_100077,100000077,6,33.49,pending,2026-01-25 05:59:07
ORD2026012600000079,主站 Bot,user_100078,100000078,7,33.86,refunded,2026-01-26 06:06:18
ORD2026012700000080,主站 Bot,user_100079,100000079,8,34.23,cancelled,2026-01-27 07:13:29
ORD2026012800000081,主站 Bot,user_100080,100000080,1,34.6,completed,2026-01-28 08:20:40
ORD2026012900000082,主站 Bot,user_100081,100000081,2,34.97,pending,2026-01-29 09:27:51
ORD2026013000000083,主站 Bot,user_100082,100000082,3,35.34,refunded,2026-01-30 10:34:02
ORD2026013100000084,主站 Bot,user_100083,100000083,4,35.71,cancelled,2026-01-31 11:41:13
ORD2026020100000085,主站 Bot,user_100084,100000084,5,36.08,completed,2026-02-01 12:48:24
ORD2026020200000086,主站 Bot,user_100085,100000085,6,36.45,pending,2026-02-02 13:55:35
ORD2026020300000087,主站 Bot,user_100086,100000086,7,36.82,refunded,2026-02-03 14:02:46
ORD2026020400000088,主站 Bot,user_100087,100000087,8,37.19,cancelled,2026-02-04 15:09:57
ORD2026020500000089,主站 Bot,user_100088,100000088,1,37.56,completed,2026-02-05 16:16:08
ORD2026020600000090,主站 Bot,user_100089,100000089,2,37.93,pending,2026-02-06 17:23:19
